,colonnes
507,IncidentType_Evacuationnofire
508,IncidentType_FloodcallattendedBatchmobilised
509,IncidentType_Flooding
510,IncidentType_HazardousMaterialsincident
511,IncidentType_LateCall
512,IncidentType_LiftRelease
513,IncidentType_MakingSafenotRTC
514,IncidentType_MedicalIncident
515,IncidentType_MedicalIncidentCoresponder
516,IncidentType_Noactionnotfalsealarm
517,IncidentType_OtherTransportincident
518,IncidentType_Otherrescuereleaseofpersons
519,IncidentType_PrimaryFire
520,IncidentType_Removalofobjectsfrompeople
521,IncidentType_Rescueorevacuationfromwater
522,IncidentType_RoadTrafficCollision
523,IncidentType_SecondaryFire
524,IncidentType_SpillsandLeaksnotRTC
525,IncidentType_StandBy
526,IncidentType_Suicideattempts
