,Station Address,Latitude,Longitude,NomStation,CodeStation
46,460 High Road Redbridge IG1 1UE,51.5628579,0.0915461,ILFORD,F42
47,278 Upper Street Islington N1 2TZ,51.5402671,-0.1023069299975422,ISLINGTON,A30
48,"13 Old Court, Kensington High Street Kensington & Chelsea W8 4PL",51.5028921,-0.190126,KENSINGTON,G33
49,"20 Highgate Road, London Camden NW5 1NS",51.5517819,-0.1412453,KENTISH TOWN,A43
50,390 Richmond Road Kingston upon Thames KT2 5PR,51.4293673,-0.3066844,KINGSTON,H41
51,8 Albert Embankment Lambeth SE1 7SD,51.4927969,-0.12127222696803883,LAMBETH,H22
53,9 Eltham Road Greenwich SE12 8ES,51.4557558,0.0139792,LEE GREEN,E29
54,249/259 Lewisham High Street Lewisham SE13 6NH,51.457013950000004,-0.013127773671812013,LEWISHAM,E21
55,90B Church Road Waltham Forest E10 5HG,0.0,0.0,LEYTON,F29
56,466 High Road Waltham Forest E11 3HN,51.5685531,-0.0084565,LEYTONSTONE,F30
57,10 Hartley Avenue Barnet NW7 2HX,51.6153101,-0.2438167,MILL HILL,A38
58,43 Westferry Road Tower Hamlets E14 8JH,51.50081445,-0.02555937312039164,MILLWALL,F23
59,421-445 London Road Merton CR4 4BJ,51.3977601,-0.1728754,MITCHAM,H36
60,266 Queen's Road Lewisham SE14 5JN,51.4742695,-0.0464627,NEW CROSS,E38
61,180 Burlington Road Kingston upon Thames KT3 4RW,51.3992235,-0.2466097,NEW MALDEN,H40
62,1321/1325A London Road Croydon SW16 4AU,51.4067779,-0.1214271,NORBURY,H32
63,242 Ladbroke Grove Kensington & Chelsea W10 5LP,51.522953,-0.2132233,NORTH KENSINGTON,G27
64,74 Petts Hill Ealing UB5 4JT,51.5548522,-0.3599236,NORTHOLT,G31
65,405 Old Kent Road Southwark SE1 5JH,51.4875602,-0.0754327,OLD KENT ROAD,E35
66,"Avalon Road, Kent. Bromley BR6 9AX",51.3722323,0.1107549,ORPINGTON,E41
67,156 Harrow Road Westminster W2 6NL,51.52002575,-0.18308729022904663,PADDINGTON,A21
68,Waxlow Road Brent NW10 7NU,51.5357396,-0.2636705,PARK ROYAL,G29
69,78-80 Peckham Road Southwark SE5 8PR,51.4739407,-0.0795885,PECKHAM,E37
70,145 Prince Regent Lane Newham E13 8RY,51.520597,0.0318894,PLAISTOW,F45
71,"1 Lakedale Road, Plumstead Greenwich SE18 1PP",51.4842866,0.0911989,PLUMSTEAD,E25
72,168 East India Dock Road Tower Hamlets E14 0BP,51.5109191,-0.0184285,POPLAR,F22
73,128 Brighton Road Croydon CR8 4DB,51.3317879,-0.1245596,PURLEY,H29
74,"323 Lower Richmond Road, Richmond, Surrey Richmond upon Thames TW9 4PN",51.46737771567436,-0.2849187318182579,RICHMOND,H42
